FASITEC DESENVOLVIMENTO E TECNOLOGIA LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;Página:;;1/235;;
CNPJ:;;00483195000178;;;;;;;;;;;;;;;;;;;;;;;;Emissão:;;27/06/2025;;
Período:;;01/01/2024;;;;;;a;;31/12/2024;;;;;;;;;;;;;;;;Hora:;;14:23:05;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RETENÇÕES A COMPENSAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Código;;;;;Imposto;;;;;;Nota;;Tipo;;Data;;Valor Contábil;;Retenção;;;;;;;;Cód. Rec.
Cliente:;;;;;2;;;;;;CAIXA ECONOMICA FEDERAL;;;;;;;;;;;CNPJ:;;;00360305005920;;;;;
;;;16;;;;;IRRF;;;;;;202400000000136;;Serviço;;01/01/2024;;64,00;;3,07;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000137;;Serviço;;01/01/2024;;236,55;;11,35;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000138;;Serviço;;01/01/2024;;3.223,35;;154,72;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000139;;Serviço;;01/01/2024;;324,00;;15,55;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000140;;Serviço;;01/01/2024;;858,45;;41,21;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000141;;Serviço;;01/01/2024;;595,00;;28,56;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000142;;Serviço;;01/01/2024;;1.678,65;;80,58;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000143;;Serviço;;01/01/2024;;6.110,00;;293,28;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000144;;Serviço;;01/01/2024;;153,90;;7,39;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000145;;Serviço;;01/01/2024;;1.590,00;;76,32;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000146;;Serviço;;01/01/2024;;597,50;;28,68;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000147;;Serviço;;01/01/2024;;450,00;;21,60;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000148;;Serviço;;01/01/2024;;3.633,75;;174,42;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000149;;Serviço;;01/01/2024;;4.020,00;;192,96;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000150;;Serviço;;01/01/2024;;2.185,95;;104,93;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000151;;Serviço;;01/01/2024;;350,00;;16,80;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000152;;Serviço;;01/01/2024;;415,38;;19,94;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000153;;Serviço;;01/01/2024;;3.234,56;;155,26;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000154;;Serviço;;01/01/2024;;2.015,52;;96,74;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000155;;Serviço;;01/01/2024;;450,00;;21,60;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000156;;Serviço;;01/01/2024;;969,00;;46,51;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000157;;Serviço;;01/01/2024;;145,35;;6,98;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000158;;Serviço;;01/01/2024;;1.387,06;;66,58;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000159;;Serviço;;01/01/2024;;1.128,60;;54,17;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000160;;Serviço;;01/01/2024;;2.622,00;;125,86;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000161;;Serviço;;01/01/2024;;500,00;;24,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000162;;Serviço;;01/01/2024;;1.595,65;;76,59;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000163;;Serviço;;01/01/2024;;194,00;;9,31;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000164;;Serviço;;01/01/2024;;3.958,00;;189,98;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000165;;Serviço;;01/01/2024;;2.812,60;;135,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000166;;Serviço;;01/01/2024;;692,55;;33,24;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000167;;Serviço;;01/01/2024;;248,88;;11,95;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000168;;Serviço;;01/01/2024;;1.366,20;;65,58;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000169;;Serviço;;01/01/2024;;500,00;;24,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000170;;Serviço;;01/01/2024;;844,80;;40,55;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000171;;Serviço;;01/01/2024;;2.087,91;;100,22;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000172;;Serviço;;01/01/2024;;1.154,40;;55,41;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000173;;Serviço;;01/01/2024;;500,00;;24,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000174;;Serviço;;01/01/2024;;822,00;;39,46;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000175;;Serviço;;01/01/2024;;131,04;;6,29;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000176;;Serviço;;01/01/2024;;4.844,97;;232,56;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000177;;Serviço;;01/01/2024;;1.365,15;;65,53;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000178;;Serviço;;01/01/2024;;3.508,35;;168,40;;;;;;;;170806
